"sha256","group_file_count","bytes_per_copy","potential_duplicate_bytes_beyond_one_copy","relative_path"
"18CF4EFAC443E9A571A2628C25B7ADEACC1B80233E6A8312190F70E0D8E867CC","2","221","221","PR009/AutomatedBlankStacker/Candidate_v001/PR009_Audits/blender_build_v001.stderr.log"
"18CF4EFAC443E9A571A2628C25B7ADEACC1B80233E6A8312190F70E0D8E867CC","2","221","221","PR009/AutomatedBlankStacker/Candidate_v001/PR009_Audits/blender_reproducibility_v001.stderr.log"
"197A23EB3EE65EDA0B1A876818EEE749E04AD878362E87B6951ABF9073792720","2","145432","145432","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/05_RightAccessDoor/Original/left.png"
"197A23EB3EE65EDA0B1A876818EEE749E04AD878362E87B6951ABF9073792720","2","145432","145432","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Prepared/Meshy6Views_v645/05_RightAccessDoor/left.png"
"1B296FA70E1CFCCD744952335D2F2B547C50B8F1AA9ED7EC76E559C56A62CD68","2","130751","130751","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/08_ElectricalCabinet/Original/left.png"
"1B296FA70E1CFCCD744952335D2F2B547C50B8F1AA9ED7EC76E559C56A62CD68","2","130751","130751","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Prepared/Meshy6Views_v645/08_ElectricalCabinet/left.png"
"1C0EC5C25464ADB37578A42566804D62175547E7EA313FE8D4898F58E6C74FCD","2","227261","227261","Candidate/PressTrains/TrainA/Meshy6SupportingSystemsProduction_v641/04_SmallSlugBin/Original/front.png"
"1C0EC5C25464ADB37578A42566804D62175547E7EA313FE8D4898F58E6C74FCD","2","227261","227261","Candidate/PressTrains/TrainA/MeshySupportingSystemsReferences_v634/Asset09B_SmallStillage/front.png"
"1CB304DFFE1B082292379A70CC0540FD2DBF87E98EEAD22EA5BE20670B1BA4C1","2","1291747","1291747","Reference/PressShop/RemainingMachineryPack_v1.0/CAIRNWELL_PRESS_SHOP_REMAINING_MACHINERY_PACK_v1.0/visuals/SHEET_05_PRESS_TRAIN_A_4K.png"
"1CB304DFFE1B082292379A70CC0540FD2DBF87E98EEAD22EA5BE20670B1BA4C1","2","1291747","1291747","ReferencePacks/CAIRNWELL_PRESS_SHOP_REMAINING_MACHINERY_PACK_v1.0/visuals/SHEET_05_PRESS_TRAIN_A_4K.png"
